"indicator","index.rate","target","points","max","percent.points","state.avg","school_code","year"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0341311","201516"
"Math Academic growth: Math Performance index: All Students ","N/A ","100% ",0,0,0,"65.0%","0341311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0341311","201516"
"Chronic absenteeism: Science Performance index: All Students ","6.5% ","<=5% ",47.1,50,94.1,"9.6%","0341311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.4% ","<=5% ",45.2,50,90.4,"15.6%","0341311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341311","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"89.2% | 50.5%","0341311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341311","201516"
"ELA: All Students ","67.1 ","75 ",89.4,100,89.4,"67.9","0341411","201415"
"ELA: High Needs Students ","65.6 ","75 ",87.5,100,87.5,"56.7","0341411","201415"
"Math: All Students ","55.4 ","75 ",73.9,100,73.9,"59.3","0341411","201415"
"Math: High Needs Students ","53.6 ","75 ",71.4,100,71.4,"47.8","0341411","201415"
"Science: All Students ","43.6 ","75 ",58.1,100,58.1,"56.5","0341411","201415"
"Science: High Needs Students ","39.8 ","75 ",53,100,53,"45.9","0341411","201415"
"Chronic absenteeism: All Students ","4.1% ","<=5% ",50,50,100,"10.6%","0341411","201415"
"Chronic absenteeism: High Needs Students ","4.1% ","<=5% ",50,50,100,"17.3%","0341411","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341411","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341411","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 22.2% ","75% ",14.8,50,29.6,"87.6% | 51.0%","0341411","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341411","201415"
"Accountability Index ","","",548.2,750,73.1,"","0341411","201415"
"ELA Performance index: All Students ","67.7 ","75 ",45.1,50,90.2,"67.7","0341411","201516"
"ELA Performance index: High Needs Students ","66.5 ","75 ",44.3,50,88.7,"56.7","0341411","201516"
"Math Performance index: All Students ","62.2 ","75 ",41.4,50,82.9,"61.4","0341411","201516"
"Math Performance index: High Needs Students ","61.0 ","75 ",40.7,50,81.4,"49.9","0341411","201516"
"Science Performance index: All Students ","43.9 ","75 ",29.3,50,58.6,"57.5","0341411","201516"
"Science Performance index: High Needs Students ","42.7 ","75 ",28.4,50,56.9,"47.0","0341411","201516"
"ELA Academic growth: ELA Performance index: All Students ","73.6% ","100% ",73.6,100,73.6,"63.8%","0341411","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","72.9% ","100% ",72.9,100,72.9,"58.3%","0341411","201516"
"Math Academic growth: Math Performance index: All Students ","92.0% ","100% ",92,100,92,"65.0%","0341411","201516"
"Math Academic growth: Math Performance index: High Needs Students ","90.8% ","100% ",90.8,100,90.8,"57.4%","0341411","201516"
"Chronic absenteeism: Science Performance index: All Students ","1.6% ","<=5% ",50,50,100,"9.6%","0341411","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.3% ","<=5% ",50,50,100,"15.6%","0341411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341411","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341411","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341411","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341411","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341411","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","82.3% | 29.4% ","75% ",9.8,50,19.6,"89.2% | 50.5%","0341411","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341411","201516"
"ELA: All Students ","66.8 ","75 ",89.1,100,89.1,"67.9","0341511","201415"
"ELA: High Needs Students ","58.8 ","75 ",78.4,100,78.4,"56.7","0341511","201415"
"Math: All Students ","60.1 ","75 ",80.1,100,80.1,"59.3","0341511","201415"
"Math: High Needs Students ","54.4 ","75 ",72.6,100,72.6,"47.8","0341511","201415"
"Science: All Students ","47.9 ","75 ",63.8,100,63.8,"56.5","0341511","201415"
"Science: High Needs Students ","42.6 ","75 ",56.8,100,56.8,"45.9","0341511","201415"
"Chronic absenteeism: All Students ","5.6% ","<=5% ",48.8,50,97.5,"10.6%","0341511","201415"
"Chronic absenteeism: High Needs Students ","8.2% ","<=5% ",43.7,50,87.4,"17.3%","0341511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","81.8% | 48.1% ","75% ",16,50,32.1,"87.6% | 51.0%","0341511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341511","201415"
"Accountability Index ","","",549.3,750,73.2,"","0341511","201415"
"ELA Performance index: All Students ","66.8 ","75 ",44.5,50,89,"67.7","0341511","201516"
"ELA Performance index: High Needs Students ","60.1 ","75 ",40,50,80.1,"56.7","0341511","201516"
"Math Performance index: All Students ","62.2 ","75 ",41.4,50,82.9,"61.4","0341511","201516"
"Math Performance index: High Needs Students ","57.6 ","75 ",38.4,50,76.8,"49.9","0341511","201516"
"Science Performance index: All Students ","56.4 ","75 ",37.6,50,75.2,"57.5","0341511","201516"
"Science Performance index: High Needs Students ","52.2 ","75 ",34.8,50,69.6,"47.0","0341511","201516"
"ELA Academic growth: ELA Performance index: All Students ","66.4% ","100% ",66.4,100,66.4,"63.8%","0341511","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","60.8% ","100% ",60.8,100,60.8,"58.3%","0341511","201516"
"Math Academic growth: Math Performance index: All Students ","69.8% ","100% ",69.8,100,69.8,"65.0%","0341511","201516"
"Math Academic growth: Math Performance index: High Needs Students ","67.5% ","100% ",67.5,100,67.5,"57.4%","0341511","201516"
"Chronic absenteeism: Science Performance index: All Students ","7.4% ","<=5% ",45.2,50,90.4,"9.6%","0341511","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","8.9% ","<=5% ",42.2,50,84.4,"15.6%","0341511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341511","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341511","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341511","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341511","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341511","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","74.6% | 38.3% ","75% ",12.8,50,25.5,"89.2% | 50.5%","0341511","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341511","201516"
"ELA: All Students ","68.4 ","75 ",91.2,100,91.2,"67.9","0341611","201415"
"ELA: High Needs Students ","63.4 ","75 ",84.5,100,84.5,"56.7","0341611","201415"
"Math: All Students ","57.5 ","75 ",76.7,100,76.7,"59.3","0341611","201415"
"Math: High Needs Students ","52.2 ","75 ",69.6,100,69.6,"47.8","0341611","201415"
"Science: All Students ","48.1 ","75 ",64.2,100,64.2,"56.5","0341611","201415"
"Science: High Needs Students ","44.0 ","75 ",58.7,100,58.7,"45.9","0341611","201415"
"Chronic absenteeism: All Students ","7.0% ","<=5% ",46,50,91.9,"10.6%","0341611","201415"
"Chronic absenteeism: High Needs Students ","7.8% ","<=5% ",44.3,50,88.6,"17.3%","0341611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","92.0% | 42.0% ","75% ",28,50,56,"87.6% | 51.0%","0341611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341611","201415"
"Accountability Index ","","",563.2,750,75.1,"","0341611","201415"
"ELA Performance index: All Students ","66.9 ","75 ",44.6,50,89.2,"67.7","0341611","201516"
"ELA Performance index: High Needs Students ","61.4 ","75 ",41,50,81.9,"56.7","0341611","201516"
"Math Performance index: All Students ","59.6 ","75 ",39.7,50,79.5,"61.4","0341611","201516"
"Math Performance index: High Needs Students ","54.5 ","75 ",36.3,50,72.7,"49.9","0341611","201516"
"Science Performance index: All Students ","51.4 ","75 ",34.2,50,68.5,"57.5","0341611","201516"
"Science Performance index: High Needs Students ","47.5 ","75 ",31.7,50,63.4,"47.0","0341611","201516"
"ELA Academic growth: ELA Performance index: All Students ","63.0% ","100% ",63,100,63,"63.8%","0341611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","62.7% ","100% ",62.7,100,62.7,"58.3%","0341611","201516"
"Math Academic growth: Math Performance index: All Students ","63.2% ","100% ",63.2,100,63.2,"65.0%","0341611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","61.4% ","100% ",61.4,100,61.4,"57.4%","0341611","201516"
"Chronic absenteeism: Science Performance index: All Students ","7.1% ","<=5% ",45.7,50,91.4,"9.6%","0341611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","6.9% ","<=5% ",46.2,50,92.3,"15.6%","0341611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341611","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","82.9% | 20.6% ","75% ",6.9,50,13.7,"89.2% | 50.5%","0341611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341611","201516"
"ELA: All Students ","66.5 ","75 ",88.7,100,88.7,"67.9","0341711","201415"
"ELA: High Needs Students ","58.3 ","75 ",77.8,100,77.8,"56.7","0341711","201415"
"Math: All Students ","61.2 ","75 ",81.7,100,81.7,"59.3","0341711","201415"
"Math: High Needs Students ","52.8 ","75 ",70.3,100,70.3,"47.8","0341711","201415"
"Science: All Students ","49.9 ","75 ",66.6,100,66.6,"56.5","0341711","201415"
"Science: High Needs Students ","42.9 ","75 ",57.3,100,57.3,"45.9","0341711","201415"
"Chronic absenteeism: All Students ","7.0% ","<=5% ",45.9,50,91.9,"10.6%","0341711","201415"
"Chronic absenteeism: High Needs Students ","7.4% ","<=5% ",45.2,50,90.4,"17.3%","0341711","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341711","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341711","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","95.4% | 23.8% ","75% ",15.9,50,31.7,"87.6% | 51.0%","0341711","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341711","201415"
"Accountability Index ","","",549.3,750,73.2,"","0341711","201415"
"ELA Performance index: All Students ","68.7 ","75 ",45.8,50,91.6,"67.7","0341711","201516"
"ELA Performance index: High Needs Students ","61.8 ","75 ",41.2,50,82.4,"56.7","0341711","201516"
"Math Performance index: All Students ","61.8 ","75 ",41.2,50,82.4,"61.4","0341711","201516"
"Math Performance index: High Needs Students ","53.4 ","75 ",35.6,50,71.2,"49.9","0341711","201516"
"Science Performance index: All Students ","54.6 ","75 ",36.4,50,72.9,"57.5","0341711","201516"
"Science Performance index: High Needs Students ","46.0 ","75 ",30.7,50,61.4,"47.0","0341711","201516"
"ELA Academic growth: ELA Performance index: All Students ","67.0% ","100% ",67,100,67,"63.8%","0341711","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","66.9% ","100% ",66.9,100,66.9,"58.3%","0341711","201516"
"Math Academic growth: Math Performance index: All Students ","56.1% ","100% ",56.1,100,56.1,"65.0%","0341711","201516"
"Math Academic growth: Math Performance index: High Needs Students ","51.9% ","100% ",51.9,100,51.9,"57.4%","0341711","201516"
"Chronic absenteeism: Science Performance index: All Students ","7.4% ","<=5% ",45.3,50,90.6,"9.6%","0341711","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","8.6% ","<=5% ",42.8,50,85.6,"15.6%","0341711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341711","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341711","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341711","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341711","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341711","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 23.8% ","75% ",15.9,50,31.7,"89.2% | 50.5%","0341711","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341711","201516"
"ELA: All Students ","78.0 ","75 ",100,100,100,"67.9","0341911","201415"
"ELA: High Needs Students ","68.1 ","75 ",90.8,100,90.8,"56.7","0341911","201415"
"Math: All Students ","68.2 ","75 ",91,100,91,"59.3","0341911","201415"
"Math: High Needs Students ","54.7 ","75 ",72.9,100,72.9,"47.8","0341911","201415"
"Science: All Students ","60.6 ","75 ",80.8,100,80.8,"56.5","0341911","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0341911","201415"
"Chronic absenteeism: All Students ","4.2% ","<=5% ",50,50,100,"10.6%","0341911","201415"
"Chronic absenteeism: High Needs Students ","5.0% ","<=5% ",50,50,100,"17.3%","0341911","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0341911","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0341911","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.0% | 71.4% ","75% ",47.6,50,95.2,"87.6% | 51.0%","0341911","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0341911","201415"
"Accountability Index ","","",583.1,650,89.7,"","0341911","201415"
"ELA Performance index: All Students ","77.0 ","75 ",50,50,100,"67.7","0341911","201516"
"ELA Performance index: High Needs Students ","68.6 ","75 ",45.7,50,91.5,"56.7","0341911","201516"
"Math Performance index: All Students ","71.3 ","75 ",47.5,50,95.1,"61.4","0341911","201516"
"Math Performance index: High Needs Students ","60.1 ","75 ",40.1,50,80.1,"49.9","0341911","201516"
"Science Performance index: All Students ","60.7 ","75 ",40.5,50,80.9,"57.5","0341911","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0341911","201516"
"ELA Academic growth: ELA Performance index: All Students ","70.9% ","100% ",70.9,100,70.9,"63.8%","0341911","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","54.9% ","100% ",54.9,100,54.9,"58.3%","0341911","201516"
"Math Academic growth: Math Performance index: All Students ","88.8% ","100% ",88.8,100,88.8,"65.0%","0341911","201516"
"Math Academic growth: Math Performance index: High Needs Students ","79.6% ","100% ",79.6,100,79.6,"57.4%","0341911","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.4% ","<=5% ",50,50,100,"9.6%","0341911","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","4.5% ","<=5% ",50,50,100,"15.6%","0341911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0341911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0341911","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0341911","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0341911","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0341911","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0341911","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","85.1% | 57.9% ","75% ",19.3,50,38.6,"89.2% | 50.5%","0341911","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0341911","201516"
"ELA: All Students ","59.9 ","75 ",79.8,100,79.8,"67.9","0345111","201415"
"ELA: High Needs Students ","54.4 ","75 ",72.5,100,72.5,"56.7","0345111","201415"
"Math: All Students ","49.3 ","75 ",65.7,100,65.7,"59.3","0345111","201415"
"Math: High Needs Students ","44.3 ","75 ",59.1,100,59.1,"47.8","0345111","201415"
"Science: All Students ","52.1 ","75 ",69.5,100,69.5,"56.5","0345111","201415"
"Science: High Needs Students ","47.3 ","75 ",63,100,63,"45.9","0345111","201415"
