"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_code","year"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341911","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0341911","201415"
"White ","124 ","80.5 ","123 ","70.0 ","38 ","62.1","0341911","201415"
"English Language Learners ","21 ","69.1 ","21 ","56.8 ","* ","*","0341911","201415"
"Non-English Language Learners ","185 ","79.1 ","184 ","69.6 ","* ","*","0341911","201415"
"Eligible for Free or Reduced-Price Meals ","42 ","68.0 ","42 ","55.0 ","14 ","*","0341911","201415"
"Not Eligible for Free or Reduced-Price Meals ","164 ","80.6 ","163 ","71.7 ","53 ","65.3","0341911","201415"
"Students with Disabilities ","16 ","* ","16 ","* ","* ","*","0341911","201415"
"Students without Disabilities ","190 ","79.6 ","189 ","69.7 ","* ","*","0341911","201415"
"High Needs ","54 ","68.1 ","54 ","54.7 ","17 ","*","0341911","201415"
"Non-High Needs ","152 ","81.6 ","151 ","73.1 ","50 ","65.9","0341911","201415"
"School ","206 ","78.0 ","205 ","68.2 ","67 ","60.6","0341911","201415"
"Asian ","18 ","* ","18 ","* ","* ","*","0341911","201516"
"Black or African American ","10 ","* ","10 ","* ","* ","*","0341911","201516"
"Hispanic or Latino ","54 ","70.1 ","54 ","62.9 ","18 ","*","0341911","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0341911","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0341911","201516"
"White ","104 ","79.8 ","104 ","75.1 ","34 ","65.5","0341911","201516"
"English Language Learners ","28 ","63.0 ","28 ","52.4 ","8 ","*","0341911","201516"
"Non-English Language Learners ","161 ","79.4 ","161 ","74.6 ","51 ","64.0","0341911","201516"
"Eligible for Free or Reduced-Price Meals ","53 ","68.3 ","53 ","60.0 ","13 ","*","0341911","201516"
"Not Eligible for Free or Reduced-Price Meals ","136 ","80.3 ","136 ","75.7 ","46 ","65.2","0341911","201516"
"Students with Disabilities ","21 ","61.7 ","21 ","55.0 ","8 ","*","0341911","201516"
"Students without Disabilities ","168 ","78.9 ","168 ","73.4 ","51 ","63.3","0341911","201516"
"High Needs ","70 ","68.6 ","70 ","60.1 ","16 ","*","0341911","201516"
"Non-High Needs ","119 ","81.9 ","119 ","77.9 ","43 ","65.9","0341911","201516"
"School ","189 ","77.0 ","189 ","71.3 ","59 ","60.7","0341911","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0","N/A","0345111","201415"
"Asian ","68 ","71.5 ","67 ","62.2 ","20","53.9","0345111","201415"
"Black or African American ","65 ","57.2 ","59 ","46.7 ","31","47.6","0345111","201415"
"Hispanic or Latino ","405 ","55.9 ","391 ","45.1 ","144","48.1","0345111","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0","*","0345111","201415"
"Two or More Races ","* ","* ","* ","* ","11","*","0345111","201415"
"White ","361 ","62.2 ","347 ","51.6 ","159","55.6","0345111","201415"
"English Language Learners ","187 ","47.7 ","178 ","38.1 ","52","39.3","0345111","201415"
"Non-English Language Learners ","740 ","63.0 ","713 ","52.1 ","313","54.2","0345111","201415"
"Eligible for Free or Reduced-Price Meals ","453 ","56.4 ","431 ","46.0 ","171","48.3","0345111","201415"
"Not Eligible for Free or Reduced-Price Meals ","474 ","63.2 ","460 ","52.4 ","194","55.4","0345111","201415"
"Students with Disabilities ","161 ","42.4 ","150 ","34.3 ","62","42.0","0345111","201415"
"Students without Disabilities ","766 ","63.6 ","741 ","52.3 ","303","54.2","0345111","201415"
"High Needs ","567 ","54.4 ","538 ","44.3 ","213","47.3","0345111","201415"
"Non-High Needs ","360 ","68.6 ","353 ","56.9 ","152","58.9","0345111","201415"
"School ","927 ","59.9 ","891 ","49.3 ","365","52.1","0345111","201415"
"Asian ","71 ","71.1 ","71 ","64.5 ","21 ","56.0","0345111","201516"
"Black or African American ","64 ","58.4 ","61 ","46.0 ","25 ","47.7","0345111","201516"
"Hispanic or Latino ","471 ","59.3 ","469 ","49.0 ","155 ","48.2","0345111","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0345111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0345111","201516"
"White ","354 ","66.2 ","352 ","55.3 ","140 ","54.1","0345111","201516"
"English Language Learners ","193 ","51.6 ","192 ","42.8 ","46 ","42.2","0345111","201516"
"Non-English Language Learners ","795 ","65.2 ","787 ","54.7 ","304 ","52.4","0345111","201516"
"Eligible for Free or Reduced-Price Meals ","535 ","59.7 ","528 ","49.6 ","178 ","48.4","0345111","201516"
"Not Eligible for Free or Reduced-Price Meals ","453 ","65.9 ","451 ","55.7 ","172 ","53.8","0345111","201516"
"Students with Disabilities ","166 ","43.6 ","161 ","34.6 ","49 ","38.9","0345111","201516"
"Students without Disabilities ","822 ","66.4 ","818 ","55.9 ","301 ","53.0","0345111","201516"
"High Needs ","628 ","58.1 ","620 ","48.3 ","207 ","47.9","0345111","201516"
"Non-High Needs ","360 ","70.3 ","359 ","59.4 ","143 ","55.7","0345111","201516"
"School ","988 ","62.5 ","979 ","52.4 ","350 ","51.1","0345111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0345211","201415"
"Asian ","43 ","71.2 ","43 ","61.0 ","11 ","*","0345211","201415"
"Black or African American ","72 ","52.2 ","71 ","42.3 ","22 ","42.1","0345211","201415"
"Hispanic or Latino ","471 ","58.1 ","462 ","47.7 ","176 ","46.1","0345211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0345211","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0345211","201415"
"White ","265 ","67.2 ","259 ","54.4 ","100 ","54.0","0345211","201415"
"English Language Learners ","200 ","49.6 ","199 ","41.4 ","67 ","37.5","0345211","201415"
"Non-English Language Learners ","665 ","64.7 ","650 ","52.8 ","248 ","51.5","0345211","201415"
"Eligible for Free or Reduced-Price Meals ","563 ","58.3 ","552 ","47.2 ","206 ","46.2","0345211","201415"
"Not Eligible for Free or Reduced-Price Meals ","302 ","66.7 ","297 ","55.6 ","109 ","53.1","0345211","201415"
"Students with Disabilities ","137 ","41.3 ","133 ","34.8 ","55 ","36.1","0345211","201415"
"Students without Disabilities ","728 ","65.0 ","716 ","53.0 ","260 ","51.2","0345211","201415"
"High Needs ","631 ","57.2 ","619 ","46.5 ","234 ","45.5","0345211","201415"
"Non-High Needs ","234 ","72.1 ","230 ","60.0 ","81 ","57.4","0345211","201415"
"School ","865 ","61.2 ","849 ","50.1 ","315 ","48.6","0345211","201415"
"Asian ","45","72.5 ","45","64.3 ","* ","*","0345211","201516"
"Black or African American ","75","54.2 ","75","46.9 ","33 ","40.3","0345211","201516"
"Hispanic or Latino ","480","57.1 ","477","49.7 ","165 ","44.9","0345211","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0345211","201516"
"Two or More Races ","12","* ","12","* ","* ","*","0345211","201516"
"White ","239","64.4 ","239","56.7 ","106 ","52.6","0345211","201516"
"English Language Learners ","219","48.5 ","218","42.0 ","77 ","37.4","0345211","201516"
"Non-English Language Learners ","632","63.7 ","630","55.8 ","248 ","50.8","0345211","201516"
"Eligible for Free or Reduced-Price Meals ","567","56.8 ","564","49.2 ","208 ","45.0","0345211","201516"
"Not Eligible for Free or Reduced-Price Meals ","284","65.8 ","284","58.4 ","117 ","52.3","0345211","201516"
"Students with Disabilities ","137","41.6 ","137","37.2 ","55 ","34.0","0345211","201516"
"Students without Disabilities ","714","63.3 ","711","55.2 ","270 ","50.4","0345211","201516"
"High Needs ","641","55.7 ","638","48.5 ","234 ","44.1","0345211","201516"
"Non-High Needs ","210","72.4 ","210","63.7 ","91 ","56.6","0345211","201516"
"School ","851","59.8 ","848","52.3 ","325 ","47.6","0345211","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0","N/A","0346111","201415"
"Asian ","9","* ","10","* ","47","56.5","0346111","201415"
"Black or African American ","13","* ","13","* ","73","43.7","0346111","201415"
"Hispanic or Latino ","22","48.3 ","26","41.2 ","242","40.8","0346111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","0346111","201415"
"Two or More Races ","0","* ","0","* ","12","*","0346111","201415"
"White ","38","57.0 ","38","48.2 ","294","54.0","0346111","201415"
"English Language Learners ","8","* ","11","* ","94","32.2","0346111","201415"
"Non-English Language Learners ","74","57.1 ","76","49.0 ","574","50.9","0346111","201415"
"Eligible for Free or Reduced-Price Meals ","35","38.3 ","39","37.9 ","267","41.7","0346111","201415"
"Not Eligible for Free or Reduced-Price Meals ","47","65.3 ","48","54.7 ","401","52.7","0346111","201415"
"Students with Disabilities ","23","32.5 ","24","26.9 ","87","31.8","0346111","201415"
"Students without Disabilities ","59","62.0 ","63","54.9 ","581","50.8","0346111","201415"
"High Needs ","45","38.1 ","50","35.6 ","344","40.3","0346111","201415"
"Non-High Needs ","37","72.8 ","37","62.9 ","324","56.7","0346111","201415"
"School ","82","53.8 ","87","47.2 ","668","48.3","0346111","201415"
"Asian ","46","60.9 ","46","64.1 ","43 ","52.4","0346111","201516"
"Black or African American ","64","48.2 ","64","42.9 ","55 ","46.5","0346111","201516"
"Hispanic or Latino ","202","45.4 ","202","41.8 ","286 ","43.5","0346111","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","* ","*","0346111","201516"
"Two or More Races ","13","* ","13","* ","* ","*","0346111","201516"
"White ","273","60.1 ","273","53.4 ","261 ","55.6","0346111","201516"
"English Language Learners ","70","35.1 ","70","32.5 ","86 ","32.1","0346111","201516"
"Non-English Language Learners ","528","56.3 ","528","51.3 ","572 ","51.8","0346111","201516"
"Eligible for Free or Reduced-Price Meals ","234","46.0 ","234","42.7 ","296 ","44.0","0346111","201516"
"Not Eligible for Free or Reduced-Price Meals ","364","58.8 ","364","53.2 ","362 ","53.5","0346111","201516"
"Students with Disabilities ","75","37.9 ","75","34.9 ","86 ","32.5","0346111","201516"
"Students without Disabilities ","523","56.1 ","523","51.2 ","572 ","51.8","0346111","201516"
"High Needs ","292","45.0 ","292","41.7 ","358 ","42.6","0346111","201516"
"Non-High Needs ","306","62.2 ","306","56.3 ","300 ","57.2","0346111","201516"
"School ","598","53.8 ","598","49.1 ","658 ","49.2","0346111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0346211","201415"
"Asian ","0 ","* ","0 ","* ","* ","*","0346211","201415"
"Black or African American ","* ","* ","* ","* ","6 ","*","0346211","201415"
"Hispanic or Latino ","* ","* ","* ","* ","9 ","*","0346211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0346211","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0346211","201415"
"White ","* ","* ","* ","* ","7 ","*","0346211","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0346211","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0346211","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","0346211","201415"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","0346211","201415"
"Students with Disabilities ","0 ","* ","0 ","* ","8 ","*","0346211","201415"
"Students without Disabilities ","11 ","* ","11 ","* ","15 ","*","0346211","201415"
"High Needs ","* ","* ","* ","* ","* ","*","0346211","201415"
"Non-High Needs ","* ","* ","* ","* ","* ","*","0346211","201415"
"School ","11 ","* ","11 ","* ","23 ","33.4","0346211","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0346211","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0346211","201516"
"Hispanic or Latino ","11 ","* ","11 ","* ","9 ","*","0346211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0346211","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0346211","201516"
"White ","8 ","* ","8 ","* ","11 ","*","0346211","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0346211","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0346211","201516"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","0346211","201516"
"Not Eligible for Free or Reduced-Price Meals ","* ","* ","* ","* ","* ","*","0346211","201516"
"Students with Disabilities ","9 ","* ","9 ","* ","* ","*","0346211","201516"
"Students without Disabilities ","14 ","* ","14 ","* ","* ","*","0346211","201516"
"High Needs ","* ","* ","* ","* ","* ","*","0346211","201516"
"Non-High Needs ","* ","* ","* ","* ","* ","*","0346211","201516"
"School ","23 ","29.7 ","23 ","28.9 ","23 ","35.8","0346211","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350211","201415"
"Asian ","17 ","* ","17 ","* ","11 ","*","0350211","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0350211","201415"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","0350211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350211","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350211","201415"
"White ","263 ","83.8 ","263 ","76.3 ","96 ","66.9","0350211","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","0350211","201415"
"Non-English Language Learners ","* ","* ","* ","* ","110 ","67.9","0350211","201415"
"Eligible for Free or Reduced-Price Meals ","8 ","* ","8 ","* ","* ","*","0350211","201415"
"Not Eligible for Free or Reduced-Price Meals ","284 ","84.8 ","284 ","77.6 ","* ","*","0350211","201415"
"Students with Disabilities ","45 ","72.1 ","45 ","68.2 ","19 ","*","0350211","201415"
"Students without Disabilities ","247 ","86.8 ","247 ","78.8 ","91 ","70.7","0350211","201415"
"High Needs ","54 ","72.5 ","54 ","68.1 ","21 ","56.8","0350211","201415"
"Non-High Needs ","238 ","87.2 ","238 ","79.2 ","89 ","70.5","0350211","201415"
"School ","292 ","84.5 ","292 ","77.2 ","110 ","67.9","0350211","201415"
"Asian ","9 ","* ","9 ","* ","* ","*","0350211","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0350211","201516"
"Hispanic or Latino ","9 ","* ","9 ","* ","* ","*","0350211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350211","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0350211","201516"
"White ","245 ","85.8 ","245 ","80.2 ","83 ","71.7","0350211","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0350211","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0350211","201516"
"Eligible for Free or Reduced-Price Meals ","6 ","* ","6 ","* ","* ","*","0350211","201516"
"Not Eligible for Free or Reduced-Price Meals ","261 ","85.9 ","261 ","80.5 ","* ","*","0350211","201516"
"Students with Disabilities ","37 ","73.0 ","37 ","67.3 ","16 ","*","0350211","201516"
"Students without Disabilities ","230 ","87.9 ","230 ","82.3 ","77 ","72.7","0350211","201516"
"High Needs ","45 ","73.9 ","45 ","67.1 ","19 ","*","0350211","201516"
"Non-High Needs ","222 ","88.3 ","222 ","82.8 ","74 ","73.7","0350211","201516"
"School ","267 ","85.8 ","267 ","80.2 ","93 ","71.5","0350211","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0350511","201415"
"Asian ","10 ","* ","10 ","* ","* ","*","0350511","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0350511","201415"
"Hispanic or Latino ","10 ","* ","10 ","* ","* ","*","0350511","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350511","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0350511","201415"
"White ","170 ","80.4 ","170 ","74.6 ","55 ","60.8","0350511","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0350511","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0350511","201415"
"Eligible for Free or Reduced-Price Meals ","8 ","* ","8 ","* ","* ","*","0350511","201415"
"Not Eligible for Free or Reduced-Price Meals ","189 ","80.6 ","189 ","75.3 ","* ","*","0350511","201415"
"Students with Disabilities ","27 ","63.9 ","27 ","59.9 ","9 ","*","0350511","201415"
"Students without Disabilities ","170 ","82.7 ","170 ","77.3 ","54 ","61.8","0350511","201415"
"High Needs ","35 ","65.9 ","35 ","62.1 ","11 ","*","0350511","201415"
"Non-High Needs ","162 ","83.2 ","162 ","77.7 ","52 ","61.9","0350511","201415"
"School ","197 ","80.1 ","197 ","74.9 ","63 ","60.0","0350511","201415"
"Asian ","6 ","* ","6 ","* ","* ","*","0350511","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","0350511","201516"
"Hispanic or Latino ","15 ","* ","15 ","* ","6 ","*","0350511","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350511","201516"
"Two or More Races ","6 ","* ","6 ","* ","* ","*","0350511","201516"
"White ","160 ","85.5 ","160 ","79.2 ","53 ","66.0","0350511","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0350511","201516"
"Non-English Language Learners ","* ","* ","* ","* ","62 ","65.1","0350511","201516"
"Eligible for Free or Reduced-Price Meals ","10 ","* ","10 ","* ","* ","*","0350511","201516"
"Not Eligible for Free or Reduced-Price Meals ","181 ","85.5 ","181 ","79.5 ","* ","*","0350511","201516"
"Students with Disabilities ","26 ","76.3 ","26 ","69.3 ","8 ","*","0350511","201516"
"Students without Disabilities ","165 ","86.0 ","165 ","80.7 ","54 ","65.8","0350511","201516"
"High Needs ","34 ","76.3 ","34 ","71.4 ","13 ","*","0350511","201516"
"Non-High Needs ","157 ","86.5 ","157 ","80.8 ","49 ","65.9","0350511","201516"
"School ","191 ","84.7 ","191 ","79.1 ","62 ","65.1","0350511","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350611","201415"
"Asian ","7 ","* ","7 ","* ","* ","*","0350611","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0350611","201415"
"Hispanic or Latino ","9 ","* ","9 ","* ","* ","*","0350611","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350611","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0350611","201415"
"White ","193 ","87.3 ","193 ","79.0 ","64 ","65.4","0350611","201415"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0350611","201415"
