"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,="Lyman Memorial High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5,2.5,2.4,2.4,2.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,1.0
,,="General Education - Teachers and Instructors",="Certified",39.2,40.2,34.0,34.6,32.8
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.1,16.2,14.3,13.8,13.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,4.0,4.0,8.0,9.0
,,="Special Education - Teachers and Instructors",="Certified",2.8,3.4,3.4,3.0,3.6
,,="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,0.2,0.2,.
,,"Library/Media - Specialists (Certified)","Certified",1.0,1.0,1.0,1.0,1.0
="Ledyard School District",="Gales Ferry School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.0,1.2,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.9,6.1,6.0,5.3,4.9
,,="General Education - Teachers and Instructors",="Certified",13.1,13.2,13.2,15.7,13.4
,,="Library/Media - Support Staff",="Non-Certified",0.4,0.4,0.4,0.4,0.3
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.7,5.0,5.8,5.9,4.7
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.2,7.0,7.5,7.7,5.8
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.3,1.3,1.3,1.3,1.3
,,="Library/Media - Specialists (Certified)",="Certified",0.4,0.4,0.4,0.4,0.4
,="Gallup Hill School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.0,1.2,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.7,8.2,8.8,7.8
,,="General Education - Teachers and Instructors",="Certified",18.5,17.7,20.5,21.5,20.7
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.1,6.8,7.5,7.4,7.1
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.7,11.5,10.9,11.4,10.3
,,="Special Education - Teachers and Instructors",="Certified",6.0,6.5,6.5,6.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.3,3.3,2.5,2.5,3.3
,,="Library/Media - Specialists (Certified)",="Certified",0.4,0.4,0.4,0.4,.
,"Juliet W. Long School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.2,0.2,.,0.2,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",4.8,4.5,4.5,3.4,3.0
,,="General Education - Teachers and Instructors",="Certified",17.4,16.9,16.6,16.6,15.1
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.0,5.7,6.4,6.4,6.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.4,5.9,6.5,5.0,5.6
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.5,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.3,2.3,1.5,1.5,2.3
,,="Library/Media - Specialists (Certified)",="Certified",0.6,0.6,0.6,0.6,0.6
,="Ledyard Center School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.0,1.2,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.7,5.5,8.2,6.3,3.8
,,="General Education - Teachers and Instructors",="Certified",24.4,25.5,25.0,25.9,27.1
,,="Library/Media - Support Staff",="Non-Certified",0.4,0.4,0.4,0.3,0.1
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.4,6.2,6.9,7.2,6.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.1,6.7,5.8,5.1,6.9
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.3,1.3,1.3,1.3,1.3
,,="Library/Media - Specialists (Certified)",="Certified",0.6,0.6,0.6,0.6,.
,"Ledyard High School","Administrators  Coordinators and Department Chairs - School Level","Certified",5.0,5.5,5.0,5.7,5.7
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,8.0,7.0,6.8,6.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.4,4.0,4.1,3.3,3.2
,,="General Education - Teachers and Instructors",="Certified",60.7,62.6,63.9,60.2,60.0
,,="Library/Media - Support Staff",="Non-Certified",2.2,2.1,2.1,2.1,1.6
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",21.6,23.2,22.4,23.4,21.1
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.2,6.6,7.9,8.2,6.6
,,="Special Education - Teachers and Instructors",="Certified",7.0,7.5,8.0,8.0,7.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.4,0.4
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Ledyard Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.2,3.2,3.0,3.2,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",25.0,25.0,23.2,23.5,22.8
,,="Library/Media - Support Staff",="Non-Certified",0.7,0.7,0.4,0.7,1.4
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.6,9.9,10.1,11.5,8.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,6.4,7.3,5.6,5.1
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.6,0.6,0.6
,,="Library/Media - Specialists (Certified)",="Certified",1.0,.,.,.,.
"Lisbon School District","Community Connection - The Big Picture High School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.0,1.0,.,.
,,"Counselors  Social Workers  and School Psychologists","Certified",.,0.1,0.1,.,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",0.5,0.0,0.0,.,.
,,"General Education - Teachers and Instructors","Certified",2.1,2.0,1.7,.,.
,,"Library/Media - Support Staff","Non-Certified",0.0,0.0,0.0,.,.
,,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",1.0,2.1,2.3,.,.
,,"School Nurses","Non-Certified",0.1,0.1,0.1,.,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",0.5,0.0,0.0,.,.
,,"Special Education - Teachers and Instructors","Certified",.,0.4,0.4,.,.
,"Lisbon Central School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.4,1.7,1.7,1.8,1.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.3,0.8
,,="General Education - Teachers and Instructors",="Certified",34.5,33.1,31.6,29.1,29.1
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.2,23.2,18.5,18.2,16.3
,,="School Nurses",="Non-Certified",2.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.0,1.0,2.0,2.0
,,="Special Education - Teachers and Instructors",="Certified",6.0,7.0,7.0,6.0,6.3
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.9,1.9,1.7,1.6
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
="Litchfield School District",="Center School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.4,1.4,2.1
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",25.0,24.0,24.0,22.6,18.4
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.3,7.2,7.3,7.3,5.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,8.5,8.5,8.5,10.5
,,="Special Education - Teachers and Instructors",="Certified",2.0,3.0,3.0,3.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,1.3,1.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Litchfield High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,1.2,2.2,2.2,2.2
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.2,4.2,4.1,4.1,3.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",44.1,43.1,44.2,43.4,43.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.6,13.6,10.3,10.3,6.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.0,6.0,7.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.2,1.1
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Litchfield Intermediate School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,.,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.5,1.5,1.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",16.8,17.8,18.8,19.2,17.2
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.0,7.4,7.3,7.3,5.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.5,7.5,6.5,7.5
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.6,0.6,0.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Madison School District",="Daniel Hand High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.6,8.6,8.6,8.4,7.6
,,="Counselors  Social Workers  and School Psychologists",="Certified",7.2,7.2,7.4,7.6,7.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Teachers and Instructors",="Certified",87.3,87.5,88.8,87.7,88.5
,,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",28.2,27.9,30.4,29.4,30.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,16.5,17.5,15.5,18.1
,,="Special Education - Teachers and Instructors",="Certified",10.6,10.6,10.6,9.6,9.6
,,="Instructional Specialists Who Support Teachers",="Certified",0.8,0.5,0.4,0.9,0.9
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Dr. Robert H. Brown Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,2.6
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.5,3.5,3.5,3.0,3.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="General Education - Teachers and Instructors",="Certified",41.1,38.7,40.0,39.1,37.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.3,10.8,9.8,10.3,10.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.3,16.1,11.6,17.1,14.3
,,="Special Education - Teachers and Instructors",="Certified",6.3,6.3,6.3,6.3,6.3
,,="Instructional Specialists Who Support Teachers",="Certified",2.1,3.3,1.1,1.6,1.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,.,1.0,1.0
,="Island Avenue Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.3,1.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.8,0.8,1.1,0.3,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.3,12.5,11.6,14.3,12.5
,,="General Education - Teachers and Instructors",="Certified",18.2,18.2,16.9,16.9,16.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.7,5.4,5.4,5.3,5.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.7,1.7,2.5,3.3,3.3
,,="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.5
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,1.8,2.3,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="J. Milton Jeffrey Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,1.4,1.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.6,2.0,1.5,0.5,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",20.5,18.7,17.0,14.9,14.9
,,="General Education - Teachers and Instructors",="Certified",28.5,26.3,23.9,20.7,21.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.3,9.1,8.1,6.0,6.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,2.8,3.8,3.0,4.7
,,="Special Education - Teachers and Instructors",="Certified",5.0,5.0,4.5,3.0,3.5
,,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,3.4,1.9,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Kathleen H. Ryerson Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.3,1.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,0.2,1.3,1.3,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.3,12.5,10.8,11.6,12.5
,,="General Education - Teachers and Instructors",="Certified",19.2,18.0,15.8,16.4,18.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.9,5.5,5.4,5.2,5.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.2,7.2,7.5,9.7,9.7
