"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Eligible For Free Lunch",12.5,8.6,17.2,"N/A","N/A"
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Not Eligible For Lunch",14.3,"*","*","N/A","N/A"
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Eligible For Reduced Lunch",0.0,"*","*","N/A","N/A"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Eligible For Free Lunch",28.4,25.9,41.8,36.9,22.2
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Not Eligible For Lunch","*","*",28.9,"*","*"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Eligible For Reduced Lunch","*","*","N/A","*","*"
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Eligible For Free Lunch","*",17.9,31.4,25.8,20.1
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Not Eligible For Lunch","*","*",26.0,"*","*"
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Eligible For Reduced Lunch","*","*","N/A","*","*"
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","Eligible For Free Lunch","N/A","N/A","N/A",22.3,10.3
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Eligible For Free Lunch",6.2,8.5,"*",22.7,15.1
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Not Eligible For Lunch","*","*",9.1,"*","*"
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Eligible For Free Lunch",24.7,17.8,35.4,36.4,19.4
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Not Eligible For Lunch",17.4,12.0,17.4,13.7,"*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Eligible For Reduced Lunch",25.0,10.3,28.8,19.3,"*"
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Eligible For Free Lunch",7.9,9.5,"*","*","*"
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Not Eligible For Lunch","*","*",6.9,"*","*"
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","Eligible For Free Lunch","*",58.1,72.4,81.8,"*"
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","Eligible For Reduced Lunch","N/A","*","*","*","N/A"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Eligible For Free Lunch",17.0,15.3,"*",30.5,18.0
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Not Eligible For Lunch","*","*",11.3,"*","*"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Eligible For Free Lunch",4.8,11.1,"*","*","*"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Not Eligible For Lunch","*",4.6,9.4,9.3,11.5
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Eligible For Free Lunch",16.8,14.8,24.7,28.6,20.5
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Eligible For Free Lunch",42.1,33.3,42.7,50.9,40.0
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Not Eligible For Lunch",23.3,22.7,"*","*",16.9
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Eligible For Reduced Lunch",45.0,26.1,"*","*",34.5
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Eligible For Free Lunch",25.7,12.7,30.5,24.8,20.8
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Eligible For Free Lunch",19.2,15.6,29.2,34.5,31.9
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Not Eligible For Lunch","*","*",13.2,13.7,9.7
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Eligible For Reduced Lunch","*","*",14.4,13.0,12.0
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Eligible For Free Lunch",28.5,21.7,45.7,56.3,46.0
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Eligible For Free Lunch",42.1,36.1,51.7,51.2,44.7
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Not Eligible For Lunch",33.5,29.7,"*","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Eligible For Reduced Lunch",28.0,21.6,"*","*","*"
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Eligible For Free Lunch","*",11.4,"*","*",16.7
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Not Eligible For Lunch","*","*",8.5,"*","*"
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Eligible For Free Lunch",14.9,"*",27.8,27.3,12.5
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Eligible For Free Lunch",12.2,12.5,21.6,26.7,22.0
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Eligible For Free Lunch",11.7,17.6,"*",25.2,16.9
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Eligible For Free Lunch",22.4,20.7,31.9,32.4,18.5
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Eligible For Free Lunch","*",10.8,"*","*","*"
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Eligible For Free Lunch",21.3,26.4,39.3,32.8,30.2
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Not Eligible For Lunch","*",16.2,22.9,18.3,"*"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Eligible For Reduced Lunch","*",21.4,27.6,27.9,"*"
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""","Eligible For Free Lunch","N/A","N/A","N/A","N/A",72.7
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Eligible For Free Lunch",20.8,35.7,54.0,20.9,23.9
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Not Eligible For Lunch","*","*",36.3,"*",21.6
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Eligible For Reduced Lunch","*","*",56.3,"*",18.8
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Eligible For Free Lunch","N/A","N/A","N/A",95.3,87.7
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Eligible For Free Lunch","N/A","N/A","N/A",88.5,"*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Eligible For Free Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","Eligible For Free Lunch","N/A","*",31.7,25.5,"*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","Not Eligible For Lunch","N/A","*","*","*","*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","Eligible For Reduced Lunch","N/A","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Eligible For Free Lunch",70.0,60.4,78.9,61.5,78.3
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Eligible For Free Lunch",10.6,7.4,"*","*",17.8
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Not Eligible For Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Eligible For Reduced Lunch","*","*","*","*","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""","Eligible For Free Lunch",17.5,"*","*",31.5,27.7
"New Haven School District","=""0930011""","Sound School","=""0936711""","Not Eligible For Lunch","*",13.5,15.5,"*","*"
